trade_date,close,pct_chg,amount,adv_ratio,market_amount,ma20,ma60,return_20,volatility_20,amount_z20,next_5d_return,regime,ai_timing_read
20240913,3159.247,-0.417,137448911.397,0.20483055607564127,528650341.6929978,3267.653215,3371.1345549999996,-0.0557105170499822,0.006413380827679714,-1.2440798458294702,0.06098351917403111,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240918,3171.0102,0.3723,123452147.969,0.2848041971144838,481862951.84700066,3258.35534,3366.0378883333333,-0.05539448592251872,0.006430965297153098,-1.2440798458294702,0.07269695947367172,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240919,3196.0357,0.7892,181785109.713,0.8985398727068513,629561858.462998,3251.5219549999997,3361.673445,-0.04100805970312271,0.0067661880078223584,-1.2440798458294702,0.10928685809110328,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240920,3201.0497,0.1569,163985054.957,0.30681392736802693,576896679.2589991,3245.49269,3357.01986,-0.03630299536222381,0.006806813133477904,-1.2440798458294702,0.1570219918797262,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240923,3212.7639,0.3659,143876166.861,0.48006737787759685,552997278.5890001,3240.4741,3352.9973,-0.03029510683791181,0.006912731277497921,-1.2440798458294702,0.2505912743852732,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240924,3351.909,4.331,307879526.848,0.9670658682634731,974718714.2190006,3241.710025,3351.168166666667,0.007429240976734031,0.01215622273473356,-1.2104455782227843,0.2697529079697569,修复反弹,宽度改善但趋势仍需确认，适合结合反转与低估值修复
20240925,3401.533,1.4805,356862584.94,0.7789414625023378,1162025924.5019987,3245.57552,3349.890671666667,0.02325653172917308,0.01256557433442125,-1.1609981061654577,0.16300030015878142,修复反弹,宽度改善但趋势仍需确认，适合结合反转与低估值修复
20240926,3545.3204,4.2271,373983643.045,0.9618548990276738,1166765356.6860027,3257.57485,3351.11625,0.07260585905120998,0.01542757555483871,-1.1100113379230179,0.12762386722508912,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240927,3703.6849,4.4669,466692757.482,0.9773747195213164,1456310604.1889954,3278.434315,3355.1207633333333,0.1269404711815223,0.017760564456261244,-1.035227998670579,0.049540418516704765,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240930,4017.8545,8.4826,862528807.419,0.9985032740879326,2613160025.8479977,3315.44298,3364.654791666667,0.2258222367690914,0.024840665206724052,-0.8787393738899072,-0.014065243029582009,中性震荡,趋势信号不充分，适合等待宽度或量能确认
